DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            70.635              76.558            -5.923        11.133
RESSURF           79.470              84.096            -4.626         8.308
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.846              -3.119             0.273         0.572
CLDHGH            20.998              21.265            -0.268         1.513
CLDLOW            41.770              42.604            -0.834         2.247
CLDMED            13.850              13.658             0.192         1.334
CLDTOT            52.362              53.300            -0.938         2.077
EKE_850           30.299              29.782             0.517         1.675
EP            -1.353e-02          -2.057e-02         7.045e-03         0.300
FLNS              57.148              54.978             2.171         2.978
FLNSC             86.642              84.070             2.572         3.382
FLNT             234.152             237.187            -3.035         3.495
FLNTC            256.517             259.937            -3.421         3.503
FSDS             261.451             259.524             1.927         6.623
FSDSC            352.870             354.604            -1.734         3.206
FSNS             209.316             216.222            -6.906        12.178
FSNSC            288.431             300.719           -12.288        19.477
FSNSC_ICE        116.984             122.678            -5.694        15.149
FSNSC_LAND       188.686             190.167            -1.481         1.995
FSNT             304.786             313.745            -8.959        12.923
FSNTC            374.913             389.336           -14.423        20.271
ICEAREA            8.858               7.054             1.803         0.086
LHFLX             61.841              65.994            -4.153         7.767
LWCF              22.365              22.751            -0.385         1.553
PRECT              2.126               2.281            -0.155         0.334
PRECT_LAND         2.644               2.750            -0.106         0.281
PRECT_OCEAN        2.048               2.215            -0.167         0.358
PREH2O            20.057              22.767            -2.710         3.230
PREH2O_OCEAN      21.863              24.561            -2.698         3.510
PSI_200            6.587               6.705            -0.118         0.194
PS               983.708             983.619             0.089         0.787
PSL             1007.062            1006.893             0.169         0.751
QFLX               2.113               2.260            -0.148         0.254
SHFLX             10.857              11.155            -0.298         1.449
SNOWHLND          46.970              46.901             0.070         1.545
SST               15.645              17.236            -1.592         1.666
STRESS_MAG         0.085               0.079             0.006         0.009
SWCF             -70.126             -75.591             5.465         9.106
T_850            278.618             280.229            -1.611         1.645
TGCLDLWP         143.125             147.577            -4.452        12.287
TGCLDIWP          17.084              16.415             0.670         1.616
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.180             285.695            -1.515         1.577
TS               284.660             286.219            -1.559         1.642
TS_LAND          275.099             276.903            -1.804         1.849
U_200             19.402              19.881            -0.480         1.148
VT_850            -0.089              -0.098             0.009         0.741
Z3_500            55.744              56.095            -0.351         0.356
