DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: G4SSAplusfoam002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable     G4SSAplusfoam002   b.e11.TSREFC2.f09.g16.ccmi23.002   G4SSAplusfoam002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -110.446            -110.415            -0.031         4.032
RESSURF          -82.966             -83.655             0.688         9.681
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.423               4.290             0.133         0.389
CLDHGH            31.458              31.282             0.176         1.792
CLDLOW            37.222              38.158            -0.936         2.115
CLDMED            18.076              17.472             0.604         1.630
CLDTOT            55.949              56.308            -0.359         1.848
EKE_850           56.214              55.268             0.946         2.547
EP             1.595e-01           1.896e-01        -3.017e-02         0.293
FLNS              63.269              62.048             1.221         2.295
FLNSC             92.468              91.119             1.349         2.804
FLNT             212.458             216.053            -3.595         4.096
FLNTC            239.162             242.990            -3.829         4.048
FSDS              80.317              80.579            -0.262         2.301
FSDSC            106.771             108.316            -1.545         1.936
FSNS              69.814              72.607            -2.793         5.020
FSNSC             92.582              97.076            -4.494         7.275
FSNSC_ICE          2.826               2.387             0.440         0.487
FSNSC_LAND        76.164              77.182            -1.018         1.716
FSNT             102.012             105.638            -3.626         5.517
FSNTC            123.830             129.345            -5.515         7.933
ICEAREA           16.834              14.203             2.632         0.158
LHFLX             75.660              80.773            -5.113         9.190
LWCF              26.703              26.937            -0.234         1.718
PRECT              2.384               2.530            -0.145         0.330
PRECT_LAND         0.833               0.908            -0.074         0.167
PRECT_OCEAN        2.833               2.971            -0.138         0.364
PREH2O            12.819              14.517            -1.698         2.052
PREH2O_OCEAN      15.351              17.085            -1.734         2.281
PSI_200            7.130               7.410            -0.280         0.320
PS               983.460             983.651            -0.192         1.025
PSL             1007.492            1007.605            -0.113         1.053
QFLX               2.544               2.719            -0.176         0.299
SHFLX             13.850              13.439             0.411         4.897
SNOWHLND          47.031              46.961             0.070         1.451
SST               12.823              14.203            -1.379         1.434
STRESS_MAG         0.103               0.104            -0.001         0.011
SWCF             -21.818             -23.707             1.889         3.034
T_850            272.560             274.085            -1.525         1.554
TGCLDLWP         138.138             144.985            -6.847        13.200
TGCLDIWP          23.673              23.021             0.652         1.902
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           277.291             278.887            -1.595         1.703
TS               277.882             279.477            -1.595         1.765
TS_LAND          258.373             259.984            -1.611         1.666
U_200             29.826              30.347            -0.522         1.645
VT_850            -0.375              -0.358            -0.018         0.790
Z3_500            54.404              54.757            -0.353         0.376
